,제목,가사,장르
10,바다,"저 파도가 넘실거린다
쌩쌩 부는 저 바람에 실려
어디서부터 오는 걸까
끊임없이 또 다가온다
이미 너는 알지 이 moving
다시 무너진 단 걸 oui
저기 끝에 너를 던져야 해
네가 달려온 모래 저 위
이곳은 너와 나의
바다 바다 바다
바다 바다 바다
파란 물결 세차게 부는 휘파람에 감겨
나도 모르게 한 걸음씩 네게 들어가니
그때 또 다시 너를 던지는구나
하얀 물결을 내뿜는구나
점점 더 깊이 들어가네
어떻게 다시 나올지는 나도 잘 몰라
흔들리는 이 물결 속에
날 흔들었던 모든 걸 던져
흰 바람 불어 다시 달려와
아무렇지 않게 또 가네
이곳은 너와 나의
바다 바다 바다
Look at nothing else
but only at this here
어차피 다를 것 없는 곳
봐서 뭐 해 이리로 와
이곳에서 나와 파도를 맞자
내가 널 덮칠게
넌 그냥 이대로 나를
바다 바다 바다 바다 바다 어
바다 바다 바다 바다 바다
바다 바다 바다 바다 바다
바다 바다 바다 바다 바다
바다 바다 바다 아 어
바다 바다 바다 바다 바다 오",국악
11,쑥대머리,"쑥대머리 귀신형용
적막옥방의 찬 자리여
생각나는 것은 님뿐이라
보고지고 보고지고 보고지고
손가락 피를 내어
사정으로 님을 찾아볼까
간장의 썩은 눈물로
님의 화상을 그려볼까
계궁항아 추월같이
번듯이 솟아서 비추고저
전전반측 잠 못 이뤄
호접몽을 어이 꿀 수 있나
내가 만일 님 못본채
옥중고혼이 되거들면
무덤 앞에 섰난 돌은
망부석이 될 것이요
무덤 근처 선 나무는
상사목이 될 것이니
생전사후 이 원통을
알아줄 이가
뉘 있으란 말이냐
쑥대머리 귀신형용
적막옥방의 찬 자리여
생각나는 것은 님뿐이라
보고지고 보고지고 보고지고
쑥대머리
내가 만일 님 못본채
옥중고혼이 되거들면
무덤 앞에 섰난 돌은
망부석이 될 것이요
무덤 근처 선 나무는
상사목이 될 것이니
생전사후 이 원통을
알아줄 이가
뉘 있으란 말이냐
쑥대머리 귀신형용
적막옥방의 찬 자리여
생각나는 것은 님뿐이라
보고지고 보고지고 보고지고
쑥대머리",국악
12,찔레꽃,"하얀 꽃 찔레꽃.
순박한 꽃 찔레꽃.
별 처럼 슬픈 찔레꽃.
달 처럼 서러운 찔레꽃.

찔레꽃 향기는 너무 슬퍼요.
그래서 울었지.
밤 새워 울었지.

찔레꽃 향기는 너무 슬퍼요.
그래서 울었지.
목 놓아 울었지.

하얀 꽃 찔레꽃.
순박한 꽃 찔레꽃.
별 처럼 슬픈 찔레꽃.
달 처럼 서러운 찔레꽃.

찔레꽃 향기는 너무 슬퍼요.
그래서 울었지.
목 놓아 울었지.

찔레꽃 향기는 너무 슬퍼요.
그래서 울었지.
밤 새워 울었지.

(중창) X2

(찔레꽃 향기는 너무 슬퍼요)
찔레꽃 처럼 울었지.
(그래서 울었지)
찔레쫓 처럼 춤췄지.
(목놓아 울었지)
찔레꽃 처럼 울었지.

당신은 찔레꽃.
찔레꽃 처럼 울었지.
당신은 찔레꽃.",국악
13,봄날은 간다,"연분홍 치마가 봄바람에 휘날리더라
오늘도 옷고름 씹어가며
산제비 넘나들던 성황당 길에
꽃이 피면 같이 웃고
꽃이 지면 같이 울던
알뜰한 그 맹세에 봄날은 간다

새파란 풀잎이 물에 떠서 흘러 가더라
오늘도 꽃편지 내던지며
청노새 짤랑대는 역마차 길에
별이 뜨면 서로 웃고 별이 지면 서로 울던
실없는 그 기약에 봄날은 간다

열아홉 시절은 황혼 속에 슬퍼지더라
오늘도 앙가슴 두드리며
뜬 구름 흘러가는 신작로 길에
새가 날면 따라 웃고 새가 울면 따라 울던
얄궂은 그 노래에 봄날은 간다",국악
14,아름다운 나라,"저 산자락에 긴 노을지면
걸음 걸음도 살며시
달님이 오시네
밤 달빛에도 참 어여뻐라
골목 골목 선 담장은
달빛을 반기네
겨울 눈꽃이 오롯이 앉으면
그 포근한 흰 빛이 센
바람도 재우니
참 아름다운 많은 꿈이 있는
이 땅에 태어나서
행복한 내가 아니냐
큰 바다 있고 푸른 하늘 가진
이 땅위에 사는 나는
행복한 사람 아니냐
큰 추위도 견뎌낸 나무의 뿌리도
봄 그리운 맘으로 푸르다
푸르게 더 푸르게
수 만 잎을 피워내
한 줄기로 하늘까지 뻗어라
참 아름다운 많은 꿈이 있는
이 땅에 태어나서
행복한 내가 아니냐
큰 바다 있고 푸른 하늘 가진
이 땅위에 사는 나는
행복한 사람 아니냐
아름다운 나라",국악
15,모두 다 꽃이야,"산에 피어도 꽃이고
들에 피어도 꽃이고
길가에 피어도 꽃이고
모두 다 꽃이야
아무데나 피어도 생긴대로 피어도
이름없이 피어도 모두 다 꽃이야
봄에 피어도 꽃이고
여름에 피어도 꽃이고
몰래 피어도 꽃이고 모두 다 꽃이야
아무데나 피어도 생긴대로 피어도
이름없이 피어도 모두 다 꽃이야
산에 피어도 꽃이고
들에 피어도 꽃이고
길가에 피어도 꽃이고
모두 다 꽃이야
아무데나 피어도 생긴대로 피어도
이름없이 피어도 모두 다 꽃이야
아무데나 피어도 생긴대로 피어도
이름없이 피어도 모두 다 꽃이야
아무데나 피어도 생긴대로 피어도
이름없이 피어도 모두 다 꽃이야",국악
16,장산범 (Feat. 빈 엔터테인먼트),"기억하지 우리 만나서
같이 놀자 약속했잖아
나야 나 오랜 너의 친구
사소한 건 눈감아줘
놀자 놀자 다시 놀자
긴 밤 건너 내가 왔어
검은 두 눈 밝게 뜨고
길고 하얀 기억 쥐고
문 앞까지 다다른 흉내쟁이가
내가 왔어 내가 돌아왔어
에헤 야이하
즐겁게 놀아보자
에헤 야이하
혀 위에서 놀자
이 목소리는
지나칠 수 없을 테니
어서 열어줘
그 문을 열어줘
에헤야 라히야
에헤야 라히야
에헤야 라히야
에헤야 라히야
놀자 놀자 마저 놀자
심장 고동 두근대니
장단 빨라 흥겹구나
추억들을 떠올려라
시뻘건 색 거대한 입
거짓들을 벌려내고
새파랗게 질린 겁이
진실들을 삼켜내니
머리끝에 다다른 네 발 짐승이
내가 왔어 내가 돌아왔어
에헤 야이하
즐겁게 놀아보자
에헤 야이하
혀 위에서 놀자
이 목소리는
지나칠 수 없을 테니
어서 열어줘
그 문을 열어줘
안 봐도 알지
흔들리는 눈동자
널뛰고 널뛰는 이성과 감정
그래도 좋아
덜덜대는 손끝
너를 문 앞으로 이끄는 환청
열리는 문틈
그사이로 보인 건
만반의 미소
에헤 야이하
맛나게 즐겨보자
에헤 야이하
혀 위에서 놀자
결국 믿음은
한 입 거리로 돌아와
환영 고마워
잘 먹겠습니다
에헤야 라히야
에헤야 라히야
에헤야 라히야
에헤야 라히야
다음엔 너 차례야
어떤 목소리일까
다음엔 너 차례야
누굴 흉내 내볼까",국악
17,꽃구경,"아프지 마라 밥 챙겨 먹어라
자나 깨나 자식생각 걱정 많은 울 엄마
눈가엔 잔주름이 늘고
흰머리가 늘어가네
엄마처럼 살지 마라 예쁘게만 살아라
잔소리라 생각했는데
꽃피고 새 울면 꽃구경 갑시다
평생 내편 우리 엄마 두 손 꼭 잡고
엄마가 불러주던 꽃노래를 부르며
늦기 전에 꽃구경 갑시다
눈가엔 잔주름이 늘고
흰머리가 늘어가네
엄마처럼 살지 마라 예쁘게만 살아라
잔소리라 생각했는데
꽃피고 새 울면 꽃구경 갑시다
평생 내편 우리 엄마 두 손 꼭 잡고
엄마가 불러주던 꽃노래를 부르며
늦기 전에 꽃구경 갑시다
더 늦기 전에 효도합시다",국악
18,바다 끝,"먼 아주 멀리 있는
저 바다 끝보다 까마득한
그곳에 태양처럼 뜨겁던
내 사랑을 두고 오자
푸른 바람만 부는
만남도 이별도 의미 없는
그곳에 구름처럼 무심한
네 맘을 놓아주자
아름다웠던 나의 모든
노을빛 추억들이
저 바다에 잠겨 어두워지면
난 우리를 몰라
짙은 어둠만 남은
시작도 그 끝도 알 수 없는
그곳에 물결처럼 춤추던
너와 나를 놓아주자
아름다웠던 나의 모든
노을빛 추억들이
저 바람에 날려 흐트러지면
난 우리를 몰라
노을빛 추억들이
저 바람에 날려 흐트러지면
난 우리를 몰라",국악
19,사랑가,"이리 오너라 업고 노자
이리 오너라 업고 노자
사랑사랑사랑 내 사랑이야
사랑이로구나 내 사랑이야
이히이히히이 내사랑이로다
아매도 내 사랑아
니가 무엇을 먹으랴 느냐
니가 무엇을 먹으랴 느냐
둥글둥글 수박 웃 봉지 떼뜨리고
강릉 백청을 다그르르르르 부어
씨랑 발라버리고 붉은점 움뻑떠
반간지수로 먹으랴느냐
둥둥둥 내 낭군 오호 둥둥 내 낭군
도련님을 업고보니
좋을 호자가 절로 나
부용작약의 오란화
탐화봉접이 좋을씨구
소상 동정 철부지 일생을
보이도 좋을호로구나
둥둥 둥둥 오오 둥둥 내 낭군
아메도 내 사랑아
그러면 무엇을 먹으랴느냐
저리 가거라 뒷태를 보자
이리 오너라 앞태를 보자
아장아장 걸어라 걷는 태를 보자
방긋 웃어라 입속을 보자
아메도 내사랑아
달아 달아 밝은 달아
네 아무리 바쁘어도
중천에 멈춰있어
내일 날 오지 말고
백 년 여일 이 밤같이
이 모양 이대로
늙지 말게 하여다오
사랑이로구나 내 사랑이야
오호 둥둥
내 사랑",국악
20,방아요,"어유아 방아요 어유아 방아요
덜크덩떵 잘 찧는다 어유아 방아요
태고라 천왕씨는
이 목덕으로 왕허였으니
남기 아니 중헐소냐 어유아 방아요
어유아 방아요 어유아 방아요
덜크덩떵 잘 찧는다 어유아 방아요
어유아 방아요 어유아 방아요
덜크덩떵 잘 찧는다 어유아 방아요
유소씨 귀목이소 이 남기로 집지셨나
어유아 방아요
어유아 방아요 어유아 방아요
덜크덩떵 잘 찧는다 어유아 방아요
어유아 방아요 어유아 방아요
덜크덩떵 잘 찧는다 어유아 방아요
방아 만든 재작을 보니 사람을 비양튼가
이상허고도 맹랑허다 어유아 방아요
어유아 방아요 어유아 방아요
덜크덩떵 잘 찧는다 어유아 방아요
이 방아가 니 방아냐
강태공의 조작이로다
어유아 방아요 어유아 방아요
어유아 방아요 어유아 방아요
덜크덩떵 잘 찧는다 어유아 방아요
어유아 방아요 어유아 방아요
덜크덩떵 잘 찧는다 어유아 방아요
어유아 방아요 어유아 방아요
덜크덩떵 잘 찧는다 어유아 방아요",국악
21,이별가 (Feat. 김준수),"갈까부다 갈까부다
임따라서 갈까부다
바람도 쉬어넘고
구름도 쉬어넘네
행궁견월 상심색 허니
달만 비춰도 임의 생각
야우문령 단장성의
비만 와도 임의 생각
천리라도 따라가고
만리라도 갈까부다
바람도 쉬여넘고
구름도 쉬여넘는
우리님이 계신곳은
무슨 물이 막혔길래
이다지도 못보는고
바람도 쉬여넘고
구름도 쉬여넘는
천리라도 따라가고
만리라도 갈까부다",국악
22,님은 먼 곳에,"사랑한다고 말할 걸 그랬지
님이 아니면 못산다 할 것을
사랑한다고 말할 걸 그랬지
망서리다가 가버린 사람
마음주고 눈물주고 꿈도 주고 멀어져 갔네
님은 먼 곳에
영원히 먼 곳에 망서리다가
님은 먼곳에

마음주고 눈물주고 꿈도 주고 멀어져 갔네
님은 먼곳에
영원히 먼 곳에 망서리다가
남은 먼곳에",국악
23,적월 (THE RED MOOn),"꽃 속에 맺힌 사랑 피우리라
피우지 못한 눈물 비우리라
모두 이루리라
그대 내게로만 오리라
붉은 달이 뜨는 밤
그대 손 내밀면
나 그 손을 잡고선
어디든 가고
온기가 없는 손길도
표정 없는 얼굴도
오롯이 날 향할 때
바람마다 꽃송이마다
아득한 그 향기에 가득 취해
그 맘 날 보리라
피어나리오
찬란히 스며든
마음에 피어나리오
드리운 어둠에
다시 또 눈을 뜨리오
다시금 찾아온 봄날의 꽃들이
그 자리에 또 만발하는데
그대 가신 길목마다
꽃을 피워내니
어느새 가득한 향기에
찰나의 순간을 잊을까
저 달에 새기어
돌아오는 그리움에
못다한 맘
선홍빛으로 물들어가는디
붉은 달이 뜨는 밤
그대 눈길에 난
헤어 나오지 못할 깊은 곳으로
짙어져가는 눈물도
몰아치는 마음도
모두 다 뒤로 한 채
닿지 못한
마음의 빛이
OH
타올라 더 환히 널 비추리라
끝내 마주한 순간에
피어나리오
찬란히 스며든
마음에 피어나리오
드리운 어둠에
다시 또 눈을 뜨리오
불꽃에 핀 향기에
마음에 피어나리오
휘영청 붉은 달에
다시 또 눈을 뜨리오",국악
24,난감하네,"남해 용왕 우연 득병하여
아무리 약을 써도 백약이 무효라
이때 용왕 꿈에 신령 나타나
토끼 간이 제 약이라 일러주니
이 말을 들은 용왕
별주부에게 명하기를
토끼를 잡아오너라 허니
이 말 들은 별주부 말 허기를
난감하네 난감하네
난감하네 난감하네
세상이 어디요 육지가 어디요
토끼가 누구요 어찌 생겼소
그놈의 간을 어찌 구한단 말이요
나나나나나나나나 나 난감하네
돈 싫소 명예 싫소 벼슬도 싫소
세상에 나가긴 더욱 더 싫소
어찌 저 험한 세상 간단 말이요
아이고 불쌍한 내 신세야
어허
난감하네
어찌혔든 이리하여
별주부 세상을 나왔는디
정신없이 토끼를 찾아다닐 적에
어느날 저 멀리
코는 오똑 귀는 쫑끗 입은 방긋
아 저 놈이 바로 토끼렷다
이에 별주부 허는 말이
아이고 토선생 정말 방갑소
나는 용궁서 온 별주부이요
용왕님께서 큰 상 주신다 허니
자자자자자자자자 자
용궁 갑시다
거리엔 산해진미 너엄 처나고
건물은 모두 황금으로 지었고
게다가 벼슬까지 하실 것이니
나와 용궁 가서
부귀영화 누립시다
이에 토끼가 허는 말이
어어어어허 싫다 이놈아
어어어어 어
남해 용왕 우연 득병하여
아무리 약을 써도 백약이 무효라
이에 별주부에게
토끼의 간을 구하라 허니
이 말 들은 별주부 말 허기를
어어어어허 난감하네",국악
25,그냥 웃자,"사는 게 뭐냐고 묻지를 마라
대답마저 기대를 마라
어찌 세상이 호락호락 하더냐
허허 허허 그냥 웃자
힘들게 산다고 아프게 산다고
외롭게 산다고 억울하게 산다고
그 어디에 내편하나 있더냐
넓은 바다 위 난파선처럼
헤쳐 가는 게 인생이더라
그 누구에게 기대지 마라
허허 허허 그냥 웃자
사는 게 뭐냐고 묻지를 마라
대답마저 기대를 마라
어찌 세상이 호락호락 하더냐
허허 허허 그냥 웃자
힘들게 산다고 아프게 산다고
외롭게 산다고 억울하게 산다고
그 어디에 내편하나 있더냐
넓은 바다 위 난파선처럼
헤쳐 가는 게 인생이더라
그 누구에게 기대지 마라
허허 허허 그냥 웃자
그 누구에게 기대지 마라
허허 허허 그냥 웃자
허허 허허 그냥 웃자",국악
26,아름다운 나라,"저 산자락에 긴 노을 지면
걸음걸음도 살며시 달님이 오시네
밤 달빛에도 참 어여뻐라
골목 골목 선 담장은 달빛을 반기네
겨울 눈 꽃이 오롯이 앉으면
그 포근한 흰 빛이 센바람도 재우니
참 아름다운 많은 꿈이 있는
이 땅에 태어나서 행복한 내가 아니냐
큰 바다 있고 푸른 하늘 가진
이 땅 위에 사는 나는 행복한 사람 아니냐
강 물빛 소리 산 낙엽 소리
천지 사방이 고우니 즐겁지 않은가
바람 꽃 소리 들풀 젖는 소리
아픈 청춘도 고우니 마음 즐겁지 않은가
참 아름다운 많은 꿈이 있는
이 땅에 태어나서 행복한 내가 아니냐
큰 바다 있고 푸른 하늘 가진
이 땅 위에 사는 나는 행복한 사람 아니냐
큰 추위를 견뎌낸 나무의 뿌리도
봄 그리운 맘으로 푸르다
푸르게 더 푸르게
수 만 잎을 피워내
한 줄기로 하늘까지 뻗어라
참 아름다운 많은 꿈이 있는
이 땅에 태어나서 행복한 내가 아니냐
큰 바다 있고 푸른 하늘 가진
이 땅 위에 사는 나는 행복한 사람 아니냐
아름다운 나라",국악
27,배 띄워라,"배 띄워라
배 띄워라
아이야 벗님네야
배 띄워서 어서 가자
동서남북 바람 불제
언제나 기다리나
술 익고 달이 뜨니
이때가 아니 드냐
배 띄워라
배 띄워라
아이야 벗님네야
배 띄워서 어서 가자
바람이 안 불면 노를 젓고
바람이 불면 돛을 올려라
강 건너 벗님네들
앉아서 기다리랴
그립고
서럽다고 울지를 마랴
얼씨구
배 띄워라
배 띄워라
아이야 벗님네야
배 띄워서 어서 가자
배 띄워라
배 띄워라",국악
