제목,가사,장르
수고했어요 오늘도,"꽃 중의 꽃 제일 예쁜 꽃
사람 꽃을 아시나요?
웃을 땐 피었다가 눈물에 지고 마는
각양각색 향기 사람꽃
힘들다 지친단 말은
잠시만 내려놓고
잘될 거야 다 잘 될 거야
어깨를 활짝 펴고
하하하호호호 (힘을 내!)
하하하호호호 (힘을 내!)
큰 소리로 웃어 봅시다.
웃으면 복이 와요
좋은 날 온답니다
수고했어요 오늘도
꽃 중의 꽃 제일 예쁜 꽃
사람 꽃을 아시나요?
웃을 땐 피었다가 눈물에 지고 마는
각양각색 향기 사람꽃
힘들다 지친단 말은
잠시만 내려놓고
잘될 거야 다 잘 될 거야
어깨를 활짝 펴고
하하하호호호 (힘을 내!)
하하하호호호 (힘을 내!)
큰 소리로 웃어 봅시다.
웃으면 복이 와요
좋은 날 온답니다
수고했어요 오늘도
수고했어요 오늘도",트로트
인디안 인형처럼,"다시 어둠이 내리면
혼자라는게 나는 싫어
불빛거리를 헤매다
지쳐버리면 잠이드네
그댄 그렇게
내게 남겨둔 인형처럼
쉽게 웃으며 떠나갔지만
나의 마음은 인디안 인형처럼
워워워워워워워워
까만외로움에 타버렸나봐
oh my baby

비가 내리는 날이면
아픈 추억이 너무 많아
지난 일들은 잊으려
비를 맞으며 걸어가네
그댄 그렇게
내게 남겨둔 인형처럼
쉽게 웃으며 떠나 갔지만
나의 마음은 인디안 인형처럼
워워워워워워워워
까만 외로움에 타버렸나봐
oh my baby

혼자 울고있는
이 안타까운 밤이 깊어 가네
그댄 그렇게 내게 남겨둔 인형처럼
쉽게 웃으며 떠나 갔지만
나의 마음은 인디안 인형처럼
워워워워워워워워
까만 외로움에 타버렸나봐
oh my baby",트로트
님의 등불,"동쪽에서 부는 바람
이내 옷깃 스칠라
서쪽에서 부는 바람
이내 살갗 스칠라
하나밖에 없는 내님이여
누가 볼까 두렵소
장뚝 뒤에 숨길까
이내 등뒤에 숨길까
세찬 비바람 불어도
거센 눈보라가 닥쳐도
나는 영원한
당신의 등불이 되리라
장뚝 뒤에 숨길까
이내 등뒤에 숨길까
세찬 비바람 불어도
거센 눈보라가 닥쳐도
나는 영원한
당신의 등불이 되리라",트로트
나야 나,"바람이 분다 길가에 목로집
그냥 가긴 서운하잖아
바람이 분다 길가에 목로집
그냥 가긴 서운하잖아
나한잔 자네한잔 권커니
한번은 내세상도 오겠지
아자 내가 뭐 어때서
나 건들지마 운명아 비켜라
이몸께서 행차하신다
때로는 깃털처럼 휘날리며
때로는 먼지처럼 밟히며
아자 하루를 살아냈네
나야 나야 나
나야 나야 나
밤늦은 골목길
외쳐보아도
젖은 그림자 바람에 밀리고
거리엔 흔들리는 발자국
어둠은 내리고 바람찬데
아자 괜찮아 나정도면
나건들지마 운명아비켜라
이몸께서 행차하신다
때로는 깃털처럼 휘날리며
때로는 먼지처럼 밟히며
아자 하루를 살아냈네
나야 나야 나
나야 나야 나
밤늦은 골목길 외쳐보아도
젖은그림자 바람에 밀리고
거리엔 흔들리는 발자국
어둠은 내리고 바람찬데
아자 괜찮아 나정도면
아자 괜찮아 나정도면",트로트
콩깍지,"사랑의 콩깍지 씌어버렸어
나는 나는 어쩌면 좋아
콩깍지
세상을 살다보면
나를 사랑해 주는 사람
또 내가 원하는 사람도 있지
사랑을 받는 것도 행복이지만
누가 뭐래도 내가
사랑하는 당신이 최고야
이러쿵 저러쿵 간섭 하지 마
아무것도 보이지 않아
저러쿵 이러쿵 시비 걸지 마
내 눈엔 그 사람만 보여
사랑의 콩깍지 씌어버렸어
나는 나는 어쩌면 좋아
사랑의 콩까지에 콩
내 사람의 콩깍지에 콩 콩
난 푹 빠져 버렸어
사랑의 콩깍지 씌어버렸어
나는 나는 어쩌면 좋아
콩깍지
사랑의 콩깍지 씌어버렸어
나는 나는 어쩌면 좋아
콩깍지
세상을 살다보면
나를 사랑해 주는 사람
또 내가 원하는 사람도 있지
사랑을 받는 것도 행복이지만
누가 뭐래도 내가
사랑하는 당신이 최고야
이러쿵 저러쿵 간섭 하지 마
아무것도 보이지 않아
저러쿵 이러쿵 시비 걸지 마
내 눈엔 그 사람만 보여
콩깍지
사랑의 콩깍지 씌어버렸어
나는 나는 어쩌면 좋아
사랑의 콩까지에 콩
내 사람의 콩깍지에 콩 콩
난 푹 빠져 버렸어
사랑의 콩깍지 씌어버렸어
나는 나는 어쩌면 좋아
콩깍지
사랑의 콩깍지 씌어버렸어
나는 나는 어쩌면 좋아
콩깍지
나는 나는 당신이 좋아
콩깍지",트로트
물레방아 도는데,"돌담길 돌아서며 또 한번 보고
징검다리 건너갈 때 뒤돌아 보며
서울로 떠나간 사람
천리타향 멀리 가더니
새 봄이 오기 전에 잊어버렸나
고향의 물레방아
오늘도 돌아가는데
두 손을 마주 잡고 아쉬워하며
골목길을 돌아설 때 손을 흔들며
서울로 떠나간 사람
천리타향 멀리 가더니
가을이 다가도록 소식도 없네
고향의 물레방아
오늘도 돌아가는데
천리타향 멀리 가더니
가을이 다가도록 소식도 없네
고향의 물레방아
오늘도 돌아가는데",트로트
나이가 든다는 건,"나이가 든다는 건
조금도 솔직해지고
스스로 더 많이
관대해지면서 여물어 가는것
타인에 잘못도 내탓이 라면서
다 웃어넘기며
나이든다는건 더 멋져 지는것
눈이침침 한건
필요한 것만 보라고 하는것
이가 시린건 연한음식만
먹으라하는 것
세월에 허들을 넘다 지치면
숨고르기하며
나이든다는건 그 누군가에게
위로 받으란 것
나이가 든다는 건
조금도 솔직해지고
스스로 더 많이
관대해지면서 여물어 가는것
타인에 잘못도 내탓이 라면서
다 웃어넘기며
나이든다는건 더 멋져 지는것
깜박하는건 좋은 추억만
기억하라는 것
머리가 하얀건 더멀리에서도
잘 보이란 것
세월에 허들을 넘다 지치면
숨고르기하면
나이든다는건 그 누군가에게
위로 받으란 것
세월에 허들을 뛰어
저 멀리 더 높이 나르면
나이든다는건
또 다른 나에게 대답하라는 것
숨고르고 다 내려놓고
더 크게 웃으며
더 많이 더 나를 사랑하는 것",트로트
항구의남자,"항구의 남자는
항구의 남자는
갈매기도 사랑한다네
들어라 한잔 술
파도를 담고
두잔 술에 하늘을 담아
묻지를 마라 남자의 사연을
묻지를 마라 첫 사랑일랑
항구의 남자는
항구의 남자는
바다가 사랑이란다
항구의 남자는
항구의 남자는
바다가 고향이란다",트로트
봤냐고,"니가 봤냐고 봤냐고 봤냐고
내가 다른여자만나는거 봤냐고
이 남자를 믿어라
툭하면 의심하고 뻑하면 훽 토라지는
뭐가 그리 왜그리도 힘이드는거야
왜 또 투정하니 마음 변했냐면서
나를 사랑 하느냐고 묻고 묻고 또 묻지
저하늘에 별을 세며 맹세했었잖니
오로지 너 하나만 사랑하겠다고
니가 봤냐고 봤냐고 봤냐고
내가 다른여자 만나는거 봤냐고
그건 너의 착각일거야
진정 내맘은 내맘은 내마음은
너를 향한 마음 목숨걸고 지킨다
이 남자를 믿어라
니가 봤냐고 봤냐고 봤냐고
내가 다른여자 만나는거 봤냐고
이 남자를 믿어라
이 남자를 믿어라",트로트
첫정,"잊어야 하기에 가슴은 아파도
미련없이 잊을래요
사랑도 주고 눈물도 주고
떠나버린 그 사람을
사랑하던 지난 시절
받은 첫정 때문에
무거운 발길을 돌리지 못하고
외로이 서서 망설이고 있답니다
지워야 하기에 가슴은 아파도
눈을 감고 지울래요
행복도 주고 슬픔도 주고
떠나버린 그사람을
사랑하던 지난 시절
받은 첫정 때문에
외로운 마음을 돌리지 못하고
나홀로 서서 망설이고 있답니다
망설이고 있답니다",트로트
라라라,"그대는 참 아름다워요
밤 하늘의 별빛보다 빛나요
지친 나의 마음을 따뜻하게 감싸줄
그대 품이 나의 집이죠
세찬 바람 앞에서
꺼질듯한 내 사랑도
잘 참고서 이겨내줬어요
정말 눈물나도록 고마운 맘 아나요
그대 내곁에 살아줘서
사랑해요 사랑해요
내가 그대에게 부족한걸 알지만
세월에 걷다보면 지칠때도 있지만
그대의 쉴 곳이 되리라
사랑해요 고마운 내 사랑
평생 그대만을 위해 부를 이노래
사랑 노래 함께 불러요
둘이서 라라라
그대 쳐진 어깨가
내맘을 아프게 해요
잘 해준 것도 없는 나라서
그대의 고운 손이 세월에 변했어요
못 지켜줘서 미안해요
사랑해요 사랑해요
내가 그대에게 부족한걸 알지만
세월을 걷다보면 지칠때도 있지만
그대의 쉴 곳이 되리라
사랑해요 고마운 내 사랑
평생 그대만을 위해 부를 이노래
사랑노래 함께 불러요
둘이서 라라라
고마워요 고마워요
그대 자신보다 나를 아껴준 사랑
세상이 등 돌려도 누가 뭐라고 해도
내가 그대 지켜줄게요
사랑해요 소중한 내사랑
평생 그대만을 위해 부를 이 노래
사랑노래 함께 불러요
둘이서 라라라
그대 품이 나의 집이죠
영원히 라라라",트로트
자갈치 아지매,"흥남 부두 돌아 돌아
국제시장 돌고 돌아
소리내어 울었네 소리내어 불렀네
당신을 찾아 헤맸네
반짝반짝 반짝이는
항구의 작은 별들아
우리 엄마 계신곳까지
나를 나를 데려가다오
영도다리 난간위에서
남포동 뒷골목에서
자갈치 아지매가
목놓아 부르는 이름
엄마 엄마 엄마를 찾는
자갈치 아지매
흥남 부두 돌아 돌아
국제시장 돌고 돌아
소리내어 울었네 소리내어 불렀네
당신을 찾아 헤맸네
반짝반짝 반짝이는
항구의 작은 별들아
우리 엄마 계신곳까지
나를 나를 데려가다오
영도다리 난간위에서
남포동 뒷골목에서
자갈치 아지매가
목놓아 부르는 이름
엄마 엄마 엄마를 찾는
자갈치 아지매
영도다리 난간위에서
남포동 뒷골목에서
자갈치 아지매가
목놓아 부르는 이름
엄마 엄마 엄마를 찾는
자갈치 아지매 자갈치 아지매",트로트
잊혀진 계절,"지금도 기억하고 있어요
시월의 마지막 밤을
뜻 모를 이야기를 남긴채
우리는 헤어졌지요
그 날의 쓸쓸했던 표정이
그대의 진실인가요
한마디 변명도 못하고
잊혀져야 하는 건가요
언제나 돌아오는 계절은
나에게 꿈을 주지만
이룰 수 없는 꿈은 슬퍼요
나를 울려요
그날의 쓸쓸했던 표정이
그대의 진심인가요
한마디 변명도 못하고
잊혀져야 하는건가요
언제나 돌아오는 계절은
나에게 꿈을 주지만
이룰 수 없는 꿈은 슬퍼요
나를 울려요",트로트
남자답게,"남자답게 남자답게
따스했던 너의 품 안에 살 수 있게
그대를 그대를 처음 본 순간
첫눈에 반했다는 그 말
한동안 난 몰랐어
너에게 빠져들기 전까지
남자답게 화끈하게
내 손을 잡아줘 한순간도 이젠
너 없이는 숨을 쉴 수가 없어
남자답게 화끈하게
내게로 다가와 부드러운
너의 품 안에 안길 수 있게
아침을 알리는 전화벨 소리에
깨어나 수화기를 들면
사랑해 하는 너에게
고맙단 말 한마디 못 했어
남자답게 화끈하게
내 손을 잡아줘 한순간도 이젠
너 없이는 숨을 쉴 수가 없어
남자답게 화끈하게
내게로 다가와 부드러운
너의 품 안에 안길 수 있게
남자답게 화끈하게
한순간도 이젠
너 없이는 숨을 쉴 수가 없어
남자답게 화끈하게
날 한번 안아줘
따스했던 너의 품 안에 살 수 있게
남자답게",트로트
진또배기,"어 허야듸야 허야듸야
허야듸야 허야듸야 얼 쑤
어촌마을 어귀에 서서
마을에 평안함을 기원하는
진또배기 진또배기 진또배기
오리 세 마리 솟대에 앉아
물 불 바람을 막아주는
진또배기 진또배기 진또배기
모진 비바람을 견디며
바다의 심술을 막아주고
말없이 마을을 지켜온
진또배기 진또배기 진또배기
어 허야듸야 허야듸야
풍어와 풍년을 빌면서
일 년 내내 기원하는
진또배기 진또배기
진또배기 진또배기
어 허야듸야 허야듸야
배띄워라 노를 저어라
파도가 춤을 춘다 노래한다
진또배기 진또배기 진또배기
어 허야듸야 허야듸야
허야듸야 허야듸야 얼쑤",트로트
제3한강교,"강물은 흘러갑니다
제3한강교 밑을
당신과 나의 꿈을
싣고서 마음을 싣고서
젊음은 피어나는
꽃처럼 이밤을 맴돌다가
새처럼 바람처럼
물처럼 흘러만 갑니다
어제 다시 만나서 다짐을 하고
우리들은 맹세를 하였습니다
이밤이 새이며는 첫차를 타고
행복어린 거리로 떠나갈거예요
오오 뚜룻뚜룻뚜 하
강물은 흘러갑니다
제3한강교 밑을
바다로 쉬지않고
바다로 흘러만 갑니다

어제 다시 만나서 다짐을 하고
우리들은 맹세를 하였습니다
이밤이 새이며는 첫차를 타고
행복어린 거리로 떠나갈거예요
오오 뚜룻뚜룻뚜 하
강물은 흘러갑니다
제3한강교 밑을
바다로 쉬지않고
바다로 흘러만 갑니다
흘러만 갑니다
흘러만 갑니다",트로트
옥수수밭 옆에 당신을 묻고,"견우직녀도 이날만은
만나게 하는 칠석날
나는 당신을 땅에 묻고 돌아오네
안개꽃 몇 송이 함께 묻고 돌아오네
살아평생 당신께 옷 한 벌 못해주고
당신 죽어 처음으로
베옷 한 벌 해 입혔네
당신 손수 베틀로 짠
옷가지 몇 벌 이웃에 나눠 주고
옥수수밭 옆에
당신을 묻고 돌아오네
은하 건너 구름 건너
한 해 한 번 만나게 하는 이 밤
은핫물 동쪽 서쪽 그 멀고 먼 거리가
하늘과 땅의 거리인 걸 알게 하네
당신 나중 흙이 되고
내가 훗날 바람 되어
다시 만나지는 길임을 알게 하네
내 남아 밭 갈고 씨 뿌리고
땀 흘리며 살아야
한 해 한 번
당신 만나는 길임을 알게 하네",트로트
그냥 웃자,"사는 게 뭐냐고 묻지를 마라
대답마저 기대를 마라
어찌 세상이 호락호락 하더냐
허허 허허 그냥 웃자
힘들게 산다고 아프게 산다고
외롭게 산다고 억울하게 산다고
그 어디에 내편하나 있더냐
넓은 바다 위 난파선처럼
헤쳐 가는 게 인생이더라
그 누구에게 기대지 마라
허허 허허 그냥 웃자
사는 게 뭐냐고 묻지를 마라
대답마저 기대를 마라
어찌 세상이 호락호락 하더냐
허허 허허 그냥 웃자
힘들게 산다고 아프게 산다고
외롭게 산다고 억울하게 산다고
그 어디에 내편하나 있더냐
넓은 바다 위 난파선처럼
헤쳐 가는 게 인생이더라
그 누구에게 기대지 마라
허허 허허 그냥 웃자
그 누구에게 기대지 마라
허허 허허 그냥 웃자
허허 허허 그냥 웃자",트로트
백지로 보낸 편지,"언제라도 생각이 생각이 나거든
그많은 그리움을 편지로 쓰세요
사연이 너무 많아 쓸수가 없으면
백지라도 고이 접어 보내주세요
지워도 지워도 지울수 없는
백지로 보내신 당신의 마음
읽어도 읽어도 끝이 없을거예요

지워도 지워도 지울수 없는
백지로 보내신 당신의 마음
읽어도 읽어도 끝이 없을거예요",트로트
찰랑찰랑,"찰랑 찰랑 찰랑 대네
잔에 담긴 위스키처럼
그 모습이 찰랑대네
사랑이란 한잔 술이던가

오- 그대는 나를 취하게 하는 사랑이었고
가까이에서 이 마음을 자꾸 흔들었어
촉촉히 젖은 눈빛 하나로
이 마음을 적셔 주었어

그것이 사랑이라면
이 순간 모든 것 다줄 수 있어
그것이 거짓없는 진실이라면
나는 나는 그대 잔속에서
찰랑찰랑 대는 술이 되리라

오- 그대는 나를 취하게 하는 사랑이었고
가까이에서 이 마음을 자꾸 흔들었어
촉촉히 젖은 눈빛 하나로
이 마음을 적셔 주었어

그것이 사랑이라면 이 순간
모든 것 다줄 수 있어
그것이 거짓없는 진실이라면
나는 나는 그대 잔속에서
찰랑찰랑 대는 술이되리라

나는 나는 그대 잔속에서
찰랑찰랑 대는 술이되리라
그대 위하여 -",트로트
땡벌,"아 당신은 못믿을 사람
아 당신은 철없는 사람
아무리 달래봐도
어쩔 순 없지만
마음 하나는 괜찮은 사람
오늘은 들국화
또 내일은 장미꽃
치근 치근 치근대다가
잠이 들겠지
난 이제 지쳤어요 땡벌
기다리다 지쳤어요 땡벌
혼자서는 이 밤이
너무 너무 추워요
당신은 못 말리는 땡벌
당신은 날 울리는 땡벌
혼자서는 이 밤이
너무 너무 길어요
아 당신은 야속한 사람
아 당신은 모를 사람
밉다가도 돌아서면
마음에 걸리는
마음 하나는 따뜻한 사람
바람에 맴돌다
또 맴돌다 어딘가
기웃 기웃 기웃대다가
잠이 들겠지
난 이제 지쳤어요 땡벌
기다리다 지쳤어요 땡벌
혼자서는 이 밤이
너무 너무 추워요
당신은 못말리는 땡벌
당신은 날울리는 땡벌
혼자서는 이 밤이
너무 너무 길어요
당신을 사랑해요 땡벌
당신을 좋아해요 땡벌
밉지만 당신을
너무 너무 사랑해",트로트
두렵지 않은 사랑,"한번만 나를 안아 주세요 아무런 말도 하지 말아요
이대로 영원히 함께해요 가슴이 메어져 오네요
알아요 맺지 못한 다는걸 하지만 어쩔 수 없잖아요
이렇게 우린 하나인데 내곁에 있어주세요
사랑해요 나를 안아줘요 두렵지가 않아요
세상이 뭐라해도 난 괜찮아 너와 함께 할 수 있다면
내 모든 것을 다 잃어도 좋아 이렇게 함께 있으면

시간은 우릴 또 갈라 놓고 이렇게 돌아서야 하는데
아는지 모르는지 저 새벽은 애타게 밝아져 오네요
날 봐요 왜 또 울고 그래요 아픈 맘 어쩔 수 없잖아요
난 오직 너의 사랑인데 왜 자꾸 울고 그래요
사랑해요 나를 안아줘요 두렵지가 않아요
세상이 뭐라해도 난 괜찮아 너와 함께 할 수 있다면
내 모든 것을 다 잃어도 좋아 이렇게 함께 있으면
내 모든 것을 다 잃어도 좋아 이렇게 함께 있으면",트로트
눈치제로 (Prod. by 영탁),"눈치 제로제로
오 제로제로
넌 정말 눈치 제로야
하나부터 열까지 가르쳐야 돼
이제 알 때도 됐잖아
느낌 대로 대로
오 때론 때론
가슴이 가는 대로
그냥 막 다가와
나도 널 원하니까
이렇다 저렇다 말해야 알지
진짜 니 맘을 모르겠어
이렇게 눈치를 주고 있는데
너는 언제나 멍청멍청
라를라라 답답한 우리 사이
언제까지 이럴래
라를라라 작은 것 하나까지
코치하긴 싫어
눈치 제로제로
오 제로제로
넌 정말 눈치 제로야
하나부터 열까지 가르쳐야 돼
이젠 알 때도 됐잖아
느낌 대로 대로
오 때론 때론
가슴이 가는 대로
그냥 막 다가와
나도 널 원하니까
아무리 머리를 굴려보아도
아직 니 맘을 모르겠어
도대체 몇 번을 말해야 되니
챙겨 제발 좀 눈치 챙겨
라를라라 답답한 우리 사이
언제까지 이럴래
라를라라 작은 것 하나까지
코치하긴 싫어
눈치 제로제로
오 제로제로
넌 정말 눈치 제로야
하나부터 열까지 가르쳐야 돼
이젠 알 때도 됐잖아
느낌 대로 대로
오 때론 때론
가슴이 가는 대로
그냥 막 다가와
나도 널 원하니까
그냥 막 다가와
너도 날 원하잖아",트로트
애증의 강,"어제는 바람 찬 강변을
나홀로 걸었어
길 잃은 사슴처럼
저 강만 바라보았어
강 건너 저 끝에 있는
수 많은 조약돌처럼
당신과 나 사이에 사연도 참 많았어
사랑했던 날들보다
미워했던 날이 더 많아
우리가 다시 저 강을
건널 수만 있다면
후회없이 후회없이 사랑할텐데
하지만 당신과
나는 만날 수가 없기에
당신이 그리워지면
저 강이 야속하다오
사랑했던 날들보다
미워했던 날이 더 많아
우리가 다시 저 강을
건널 수만 있다면
후회없이 후회없이 사랑할텐데
하지만 당신과
나는 만날 수가 없기에
당신이 그리워지면
저 강이 야속하다오
당신이 그리워지면
저 강이 야속하다오",트로트
나만의 여인,"사랑에 한번 빠지고 싶어요
아주 멋진 여자를 만나
바다가 있는 아름다운 해변을
둘이서 걷고 싶어요
가슴이 벅차 올라요
눈물마저 핑 도네요
지금까지 살아오면서
나를 위해 무엇을 했나
세월이 다 가기 전에
내 모습 변하기 전에
그대와 둘이 밤을 지새며
지난날을 잊고 싶어요
사랑을 한번 해보고 싶어요
매력 있는 여자를 만나
아무도 없는 무인도에서
그녀와 함께 있고 싶어요
가슴이 벅차 올라요
눈물마저 핑 도네요
지금까지 살아오면서
나를 위해 무엇을 했나
세월이 다 가기 전에
내 모습 변하기 전에
사랑하는 그대 그대와 둘이
지난날을 잊고 싶어요
지난날을 잊고 싶어요
지난날을 잊고 싶어요",트로트
무시로,"이미 와버린 이별인데
슬퍼도 울지 말아요
이미 때늦은 이별인데
미련은 두지 말아요
눈물을 감추어요 눈물을 아껴요
이별보다 더 아픈게 외로움인데
무시로 무시로
그리울 때 그때 울어요
이미 돌아선 님이라면
미워도 미워 말아요
이미 약속된 이별인데
아무 말 하지 말아요
눈물을 감추어요 눈물을 아껴요
이별보다 더 아픈게 외로움인데
무시로 무시로 그리울때 그때 울어요
눈물을 감추어요 눈물을 아껴요
이별보다 더 아픈게 외로움인데
무시로 무시로
그리울 때 그때 울 어 요
그리울 때 그때 울 어 요",트로트
장녹수,"가는 세월 바람타고
흘러가는 저 구름아
수많은 사연 담아
가는 곳이 어드메냐
구중궁궐 처마 끝에
한 맺힌 매듭 엮어
눈물강 건너서
높은 뜻 걸었더니
부귀도 영화도
구름인양 간 곳 없고
어이타 녹수는
청산에 홀로 우는가
한 조각 구름 따라
떠도는 저 달님아
한 많은 사연 담아
내 숨은 곳 어드메냐
곤룡포 한 자락에
구곡간장 애태우며
안개강 건너서
높은 뜻 기웠더니
부귀도 영화도
구름인양 간 곳 없고
어이타 녹수는
청산에 홀로 우는가
청산에 홀로 우는가",트로트
고맙소 (Orchestra Ver.),"이 나이 먹도록
세상을 잘 모르나 보다
진심을 다해도 나에게 상처를 주네
이 나이 먹도록
사람을 잘 모르나 보다
사람은 보여도 마음은 보이질 않아
이 나이 되어서
그래도 당신을 만나서
고맙소 고맙소 늘 사랑하오
술 취한 그날 밤
손등에 눈물을 떨굴 때
내 손을 감싸며 괜찮아 울어준 사람
세상이 등져도
나라서 함께 할 거라고
등 뒤에 번지던 눈물이 참 뜨거웠소
이 나이 되어서
그래도 당신을 만나서
고맙소 고맙소 늘 사랑하오
못난 나를 만나서
긴 세월 고생만 시킨 사람
이런 사람이라서 미안하고 아픈 사람
나 당신을 위해 살아가겠소
남겨진 세월도 함께 갑시다
고맙소 고맙소 늘 사랑하오
늘 사랑하오
고맙소 고맙소 늘 사랑하오",트로트
비익조,"혼자선 날 수 없는 새
당신의 날개로 나는 새
두 마음 한 몸 되어
날으는 새 비익조
여자라는 이름으로 다시 태어나
당신 곁에 둥지를 튼 꿈 같은 세월
인생길 험한 길도
나는 나는 두렵지 않아
영원히 함께 할래요
당신과 함께 할래요
온 세상 다 하도록
떨어져 못 사는 나무
당신의 뿌리로 선 나무
두 가닥 한 몸 되어
크는 나무 연리지
여자라는 이름으로 다시 태어나
당신 곁에 둥지를 튼 꿈 같은 세월
인생길 험한 길도
나는 나는 두렵지 않아
영원히 함께 할래요
당신과 함께 할래요
온 세상 다하도록
영원히 함께 할래요
당신과 함께 할래요
온 세상 다 하도록
온 세상 다 하도록",트로트
모를 겁니다,"그대는 모를겁니다
얼마나 사랑하는지
표현하지 못한 내 마음을
이렇게 고백합니다
오직 내 가슴속 한 사람
그대만을 바라봅니다
내 안에 모든 것들을 비워내 봐도
그대는 남아있어요
그대에게 내 마음을 고백합니다
세상 누구보다 소중한 내 한 사람
그대만이 나를 살게 해준 한 사람
너무 사랑합니다
오직 내 가슴속 한 사람
그대만을 바라봅니다
내 안에 모든 것들을 비워내 봐도
그대는 남아있어요
그대에게 내 마음을 고백합니다
세상 누구보다 소중한 내 한 사람
그대만이 나를 살게 해준 한 사람
너무 사랑합니다
약속해요 영원까지 나 그대와
함께 있을겁니다 너무 사랑합니다",트로트
준비 없는 이별,"지난 시간 내 곁에서 머물러
행복했던 시간들이
고맙다고 다시 또 살게 되도
당신을 만나겠다고
아 그 말해야 할 텐데
떠나는 그대라도
편하게 보내줘야 할 텐데
눈을 감아 지워질 수 있다면
잠이 들면 그만인데
보고플 땐 어떻게 해야 하는지
오는 밤이 두려워져
아 그댈 보낼 오늘이
수월할 수 있도록
미운 기억을 주지 그랬어
하루만 오늘 더 하루만
준비할 수 있도록
시간을 내게 줘 안돼
지금은 이대로 떠나는 걸
그냥 볼 수는 없어
차라리 나 기다리다 말을 해
아 그댈 보낼 오늘이
수월할수 있도록
미운기억을 주지 그랬어
하루만 오늘 더 하루만
준비할 수 있도록
시간을 내게 줘 안돼
지금은 이대로 떠나는 걸
그냥 볼 수는 없어
차라리 나 기다리다 말을 해
영원토록 바라볼 수 있도록",트로트
내가 바보야,"눈시울을 적시면서
그 님에게 안녕하며
작별의 인사하고
이제 와서 후회하며
눈물 짓네
가지 말라 잡아볼걸
사랑한다 말해볼걸
이제 와서 무슨 소용이야
내가 바보야
내가 바보야
잡지 못한
내가 바보야
가지 말라 잡아볼걸
사랑한다 말해볼걸
이제 와서 무슨 소용이야
내가 바보야
내가 바보야
잡지 못한
내가 바보야",트로트
너였어,"바로 바로 너야 바로 바로 너야
그게 바로 너야 그게 바로 너야
내가 찾던 너였어
널 널 널 보고
느낌이 왔어
평생 나와 함께
살아갈 사람 너란 걸
날 날 날 보는
너의 눈빛의
느낌 같은 느낌
그 느낌이 뭔지 알았어
힘들어도 술 한 잔 나누며
다독 다독
서로 위로 해줄 수 있는 너였어
바로 바로 너야 바로 바로 너야
그게 바로 너야 그게 바로 너야
내가 찾던 너였어 너였어
바로 바로 너야 바로 바로 너야
그게 바로 너야 그게 바로 너야
내가 찾던 너였어
널 널 널 보고
느낌이 왔어
평생 나와 함께
살아갈 사람 너란 걸
날 날 날 보는
너의 눈빛의
느낌 같은 느낌
그 느낌이 뭔지 알았어
힘들어도 술 한 잔 나누며
다독 다독
서로 위로 해줄 수 있는 너였어
바로 바로 너야 바로 바로 너야
그게 바로 너야 그게 바로 너야
내가 찾던 너였어 너였어
바로 바로 너야 바로 바로 너야
그게 바로 너야 그게 바로 너야
내가 찾던 너였어",트로트
꽃당신,"천만번 불러 봐도
부르고 싶은 이름
내 마음을 뺏아버린
그대 이름은 꽃 당신
내가 힘들고 지칠 때면
꼭 안아 주면서
향기로운 꽃 입술로
힘내라던 그대 꽃 당신
보석 같은 그대 사랑
보기도 아까운 사람
꽃 당신 꽃 당신
내 사랑 내 사랑
그대 숨결 난 느껴요
당신은 정말 꽃 보다
아름다운 내 사랑
그대 이름은 꽃 당신
천년이 흘러가도
생각날 그 이름
내 가슴에 새겨놓은
그대 이름은 꽃 당신
내가 힘들고 지칠 때면
꼭 안아 주면서
향기로운 꽃 입술로
힘내라던 그대 꽃 당신
보석 같은 그대 사랑
보기도 아까운 사람
꽃 당신 꽃 당신
내 사랑 내 사랑
그대 숨결 난 느껴요
당신은 정말 꽃보다
아름다운 내 사랑
그대 이름은 꽃 당신
당신은 정말 꽃보다
아름다운 내 사랑
그대 이름은 꽃 당신
꽃 당신 꽃 당신",트로트
기다리는 아픔,"고독한 이 가슴에 외로움을 심어주고
초라한 내 모습에 멍울을 지게 했다
함께한 시간보다
더 많이 가슴을 태웠고
사랑한 날보다도 더 많이 아파했다
아픔 속에 지워야 할 사랑이면
고개 숙인 향기마저 데려가지
눈을 떠도 감고 있는 내 그림자
그대에게 가고 있는데
날 위해 힘들다 말해줘
내가 기다릴 수 있게 해줄래
돌아와 베어진 가슴에
눈물이 마를 수 있게
아픔 속에 지워야 할 사랑이면
고개 숙인 향기마저 데려가지
눈을 떠도 감고 있는 내 그림자
그대에게 가고 있는데
날 위해 힘들다 말해줘
내가 기다릴 수 있게 해줄래
돌아와 베어진 가슴에
눈물이 마를 수 있게
날 위해 힘들다 말해줘
내가 기다릴 수 있게 해줄래
돌아와 베어진 가슴에
눈물이 마를 수 있게
눈물이 마를 수 있게",트로트
